Haus,house
Auto,car
Familie,family
Mutter,mother
Vater,father
Kind,child
Bruder,brother
Schwester,sister
Freund,friend
Hund,dog
Katze,cat
Wasser,water
Brot,bread
Milch,milk
Kaffee,coffee
Tee,tea
Apfel,apple
ich,I
du,you
er,he
sie,she
wir,we
sein,to be
haben,to have
gehen,to go
kommen,to come
sprechen,to speak
lernen,to learn
essen,to eat
trinken,to drink
groß,big
klein,small
gut,good
schlecht,bad
neu,new
alt,old
schön,beautiful
heute,today
morgen,tomorrow
hier,here
dort,there
Anschluss,connection
Anschluss,connection
an sein,to be (switched) on
antworten,to answer
(sich) anziehen,to get dressed
Appetit,appetite
arbeiten,to work
auch,also
auf,on
auf,until
auf,in
aufhören,to end
aufhören,to end
auf sein,to be open
aufstehen,to get up
aufstehen,to get up
aus,from
Ausflug,excursion
ausfüllen,to fill out
Ausgang,exit
Ausland,abroad (overseas)
ausländisch,foreign
ausmachen,to switch off
aussehen,to look
aus sein,to be (switched) off
aus sein,to be out
aussteigen,to alight
Ausweis,identity card
sich ausziehen,to get undressed
Automat,machine
automatisch,automatic
Bäckerei,bakery
Bad,bathroom
Bahn,train
Bahn,train
Bahnhof,train station
Bahnsteig,platform
bald,soon
Balkon,balcony
Bank,bank
Bank,bench
Bauch,stomach
bedeuten,to mean
beginnen,to begin
bei,next to
bei,at
bei uns,here / where we are
bei,for
beide,both
beide,both
bekannt,well known
bekommen,to receive
bekommen,to get
benutzen,to use
besetzt,busy
besetzt,taken
besichtigen,to visit
besser,better
best-,best
besuchen,to visit
bezahlen,to pay
billig,cheap
bis,to (as far as)
bis,until
bitte,please
bitten,to ask
bitter,bitter
bleiben,to stay
bleiben,to stay
Blick,view
Bogen,sheet
böse,angry
brauchen,to need
breit,wide
bringen,to bring
bringen,to take
buchstabieren,to spell
Chef,boss
circa / ca.,approximately
da,there
da,here
da,there
da,here
daneben,next to it
danken,to thank
Dank,thanks
Dank,thanks
Datum,date
dauern,to take (duration)
dein-,your
dein-,yours
das,that
das,the
dich,you
dies-,this
dir,you
Disco,disco
Doktor,doctor
Doppelzimmer,double room
dort,there
dorther,from there
draußen,outside
drucken,to print
durch,through
dürfen,to be allowed
dürfen,to be allowed
dürfen,to be allowed
Durst,thirst
Dusche,shower
einfach,simple
einfach,simple
Eingang,entrance
einkaufen,to go shopping
einladen,to invite / treat
Einladung,invitation
noch einmal,again
einmal,once
Eintritt,entry
Einzelzimmer,single room
Eltern (pl.),parents
empfehlen,to recommend
enden,to end
Ende,end
Ende,end
Entschuldigung,excuse me
er,he
erklären,to explain
erlauben,allow
erzählen,to tell
es,it
essen,to eat
Essen,food
euer,your [pl.]
fahren,to travel
Fahrer,driver
falsch,wrong
Familienname,surname
Familienstand,family / marital status
Feierabend,end of work / home time
Feiertag,bank holiday
feiern,to celebrate
fehlen,to be missing
fernsehen,to watch TV
fertig,finished / ready / done
fertig,finished / ready / done
Feuer,fire (lighter)
Fieber,fever
finden,to find
Firma,company
Fleisch,meat
fliegen,to fly
abfliegen,to depart (by air)
Abflug,(flight) departure
Flughafen,airport
Flugzeug,aeroplane
fragen,to ask
Frau,Ms
Frau,woman
Frauen,women
frei,free
Freizeit,free time
(sich) freuen,to look forward
Freundin,friend (girlfriend)
früher,earlier / in the past
frühstücken,to have breakfast
Frühstück,breakfast
Führung,tour
für,for
für,for
für,for
Fußball,football
Garten,garden
es gibt,there is
geboren,born
Geburtsort,birthplace
gefallen,to like
gegen,into
gegen,against
gegen,against
gehen,to go
gehen,to go
gehen,to go
gehen,to be okay
gehören,to belong
Geld,money
Gemüse,vegetables
Gepäck,luggage
gerade,now
geradeaus,straight on
gern,gladly
Geschwister (pl.),siblings
gestern,yesterday
gestorben,died
gewinnen,to win
gleich,same
gleich,same
gleich,now
Glück,luck
glücklich,happily
Glückwunsch,congratulations
Grad (Celsius),degrees
gratulieren,to congratulate
grillen,to (have a) barbecue
groß,tall
groß,large
Größe,size
Großeltern (pl.),grandparents
Großmutter,grandmother
Großvater,grandfather
gültig,valid
günstig,cheap
gut,good
gut,good
gut,good
haben,to have
Halbpension,half-board (dining)
Halle,hall
hallo,hello
halten,to stop
Heimat,home
heiraten,to marry
heißen,to be called
heißen,to be called
hell,light
Herd,stove
herzlich,heartily
heute,today
hier,here
Hilfe,help
Hilfe,help
hinten,at / in the back
Hochzeit,marriage
holen,to fetch
hören,to listen
hören,to hear
Hunger,hunger
ich,I
ihm,him
immer,always
in,in
in,in
in,in
Internet,internet
ja,yes
jed-,every
jetzt,now
jung,young
Kaffee,coffee
kaputt,broken
kaputt,broken
Kasse,till
kaufen,to buy
kein,no
kennenlernen,to get to know
Kindergarten,kindergarten
klar,of course / naturally
Klasse,class
Klasse,class
klein,small
kochen,to cook
kommen,to come
kommen,to come
können,to be able to
können,to be able to
Konto,account
Kopf,head
kosten,to cost
kriegen,to get
Küche,kitchen
Kuchen,cake
Kugelschreiber,ball-point pen
kulturell interessiert,interested in culture
kulturell,cultural
sich kümmern,to look after
kurz,short
lachen,to laugh
lang,long
lange,long
langsam,slow
laut,loud
leben,to live
leben,to live
Leben,life
Lebensmittel (pl.),food
legen,to put
leicht,light (weight)
leicht,easy
leider,unfortunately
leise,quiet
lernen,to learn
lesen,to read
letzt-,last
Leute (pl.),people
Licht,light
lieben,to love
lieber,to prefer
Lieblings-,favourite
liegen,to lie
liegen,to lie / be located
links,left
Lokal,pub
lustig,funny
machen,to do
machen,to make
machen,to come to
man,one / impersonal ‘you’
männlich,male
Meer,sea
mehr,more
mein,my
meist-,most
mieten,to rent
Miete,rent
Milch,milk
mit,with
mitbringen,to bring with one / to get (sth. for sb.)
mitkommen,to come with
mitmachen,to join in
mitnehmen,to take with
Mitte,middle
Möbel (pl.),furniture
möchten,would like to
mögen,to like
morgen,tomorrow
müde,tired
Mund,mouth
müssen,to have to
nach,to (somewhere)
nach,to (somewhere)
nach,after / past (time)
nächst-,next
nehmen,to have (food / drink)
nehmen,to take
neu,new
neu,new
nicht,not
nichts,nothing
nie,never
noch,still
noch,another
noch,still
normal,normal
nur,only
oben,upstairs
Obst,fruit
oder,or
öffnen,to open
geöffnet,open
oft,often
ohne,without
Öl,oil
Ordnung,order
Papier,paper
Papiere (pl.),papers
Party,party
Polizei,police
Pommes frites (pl.),chips
Post,post (mail)
Postleitzahl,postcode
Praktikum,internship
Praxis,practice
Prüfung,examination
pünktlich,sharp
pünktlich,punctual
Rad fahren,to cycle
rauchen,to smoke
rechts,right
regnen,to rain
Regen,rain
Reis,rice
reisen,to travel
Reise,journey
Reiseführer,travel guide
Reiseführer,tour guide
reparieren,to repair
Reparatur,repair
Rezeption,reception
richtig,correct (right)
richtig,correct (right)
riechen,to smell
ruhig,quiet
Saft,juice
Salat,salad
S-Bahn,commuter train
Schalter,counter
scheinen,to shine
schicken,to send
schlafen,to sleep
schlecht,sick
schlecht,bad
schlecht,bad
geschlossen,closed
Schluss,end
schmecken,to taste
schnell,fast
schon,already
schön,lovely
schön,beautiful
schreiben,to write
Schule,school
Schule,school
schwer,heavy
schwer,difficult
schwimmen,to swim
Schwimmbad,swimming pool
sehen,to see
sehen,to see
sehr,very
sehr,very
sein,his
sein,to be
sein,to be
an sein,to be on
auf sein,to be open
weg sein,to be gone
zu sein,to be closed
seit,for (an amount of time)
selbstständig,independent
sich,yourself
sie,she
sitzen,to sit
so,like this
so,so
so,as
Sofa,sofa
sofort,immediately
sollen,should
sollen,should
Sonne,sun
später,later
spielen,to play
spielen,to play
Sport,sport
sprechen,to speak
stehen,to be (located)
stellen,to put
Stock,floor (of a building)
Straßenbahn,tram
studieren,to study
Studium,degree course
suchen,to look / search for
tanzen,to dance
Tee,tea
telefonieren,to telephone
Telefon,telephone
Test,test
teuer,expensive
Thema,topic
tot,dead
(sich) treffen,to meet
(sich) treffen,to meet
trinken,to drink
tschüss,...
tun,to do
tun,to do
über,across
über,above
über,over
übernachten,to stay overnight
überweisen,to transfer
Uhr,o'clock / am / pm
um,at
um,around
umziehen,to move (residence)
und,and
unser-,our
unten,at the bottom
unter,below
Unterricht,class
unterschreiben,to sign
Unterschrift,signature
Urlaub,holiday
verboten,forbidden
Verein,club
verheiratet,married
verkaufen,to sell
vermieten,to rent out
verstehen,to understand
viel,a lot
vielleicht,perhaps / may(be)
von,from
vor,ago
vor,in front of
Vorsicht,caution
Vorsicht,attention
(sich) vorstellen,to introduce
Vorwahl,area code
wandern,to hike
wann,when
wann,when
wann,when
warten,to wait
warten,to wait
warum,why
was,what
was,what
was für ein,what kind of
(sich) waschen,to wash
(sich) waschen,to wash
weh tun,to hurt
weiblich,female
weit,far
weiter,further
welch-,which
Welt,world
wenig,little / not very much
wenig,little
wer,who
werden,to become
Wetter,weather
wichtig,important
wie,what
wie,like
wie,as
wie,how
wie,how
wie,how
Wiederhören,goodbye (on phone)
Wiedersehen,goodbye
wie viel,how much
willkommen,welcome
Wind,wind
wir,we
wo,where
wo,where
wo,where
woher,from where
wohin,to where
wohin,to where
wohnen,to live
wollen,to want
wunderbar,wonderful
Zeit,time
zurzeit,at the moment
Zoll,customs
zu,to
zu,by
zu,at
zufrieden,happy
zurück,return
