Nachbar,neighbor
Umwelt,environment
Geschäft,business
Termin,appointment
Beziehung,relationship
Erfahrung,experience
Meinung,opinion
Diskussion,discussion
Information,information
Situation,situation
Kontrolle,control
Gefühl,feeling
Gedanke,thought
Erinnerung,memory
Entscheidung,decision
Lösung,solution
Problem,problem
Chance,chance
Erfolg,success
Fehler,mistake
Fortschritt,progress
Entwicklung,development
Veränderung,change
Unterschied,difference
Vergleich,comparison
Zusammenhang,connection
Grund,reason
Zweck,purpose
Ziel,goal
Plan,plan
Vorschlag,suggestion
Rat,advice
Hilfe,help
Unterstützung,support
Schutz,protection
Sicherheit,safety
Gefahr,danger
Risiko,risk
Vorteil,advantage
Nachteil,disadvantage
Eigenschaft,quality
Fähigkeit,ability
Talent,talent
Interesse,interest
Hobby,hobby
Gewohnheit,habit
Tradition,tradition
Kultur,culture
Geschichte,history
Zukunft,future
Vergangenheit,past
Gegenwart,present
Moment,moment
Gelegenheit,opportunity
Ereignis,event
Feier,celebration
Party,party
Einladung,invitation
Besuch,visit
Reise,trip
Urlaub,vacation
Hotel,hotel
Restaurant,restaurant
Café,café
Bar,bar
Theater,theater
Kino,cinema
Museum,museum
Bibliothek,library
Krankenhaus,hospital
Apotheke,pharmacy
Polizei,police
Feuerwehr,fire department
Post,post office
Bank,bank
Büro,office
Fabrik,factory
Laden,shop
Markt,market
Supermarkt,supermarket
Bäckerei,bakery
Metzgerei,butcher shop
Tankstelle,gas station
Werkstatt,workshop
Schule,school
Universität,university
Kurse,courses
Prüfung,exam
Zeugnis,certificate
Note,grade
Lehrer,teacher
Schüler,student
Klasse,class
Unterricht,lesson
Hausaufgabe,homework
Übung,exercise
Text,text
Buch,book
Zeitung,newspaper
Zeitschrift,magazine
Brief,letter
Email,email
Telefon,telephone
Handy,mobile phone
Computer,computer
Internet,internet
Website,website
Programm,program
Datei,file
Dokument,document
aber,but (Will you help me? – But gladly.)
äußern,to express
die Currywurst,sausage with curry sauce (German fastfood dish)
decken,to set (a table) (Set the table already.)
doch,Yes, of course (Don’t you want to try? – Yes, of course, gladly.)
der Durst,thirst
egal,all the same
einfach,just, simply (It just has to be!)
fett,fatty
geben,to give (Can you give me the bread, please?)
das Gefühl,feeling
der Hunger,hunger
Mensch,Oh man! (exclamation) (Oh man, am I hungry!)
die Mikrowelle,microwave
rauf,up to
riechen,to smell
schon mal,welcome something (We’ll soon get something.)
schlecht,bad
superlecker,very tasty
bitter,bitter
fett,fat (Unhealthy food makes you fat.)
salzig,salty
sauer,sour (Lemons taste very sour.)
scharf,spicy
süß,sweet
die Mensa,cafeteria
der Kochkurs,cooking class
die Pfanne,pan
das Sieb,sieve
der Topf,pot
die Zeichnung,drawing
backen,to bake
begrüßen,to greet
das Kochbuch,cookbook
der Teilnehmer,participant
nachher,afterward
stellen,to pose (questions) (Luisa poses many questions.)
die Ausbildung,training, education
je,each, apiece
der Onkel,uncle
interviewen,to interview
das Fernsehen,television
kommen,to be on, to be shown (What’s on TV today?)
nix,nothing (slang)
sehen,to see (Let’s see what’s on TV today.)
stören,to bother, disturb
ausruhen,to rest
das Geschirr,dishes
spülen,to rinse
aber,but
ärgern,to be angry (Da ärgert sich aber jemand!)
aufregen,to be upset, angry
beeilen,to hurry
langweilen,to be bored
anmachen,to turn on
die Bohne,bean
extra,specially
das Gute,good (Is something good on TV today?)
das Rindfleisch,beef
formulieren,to formulate
freuen,to be happy
traurig,sad
folgen,to follow
begründen,to justify
vermuten,to suspect, surmise
weil,because
wirklich,really (How was it really?)
weitergehen,to continue
vorspielen,to act out
Dunkelrestaurant,dining in the dark
das Dunkeldinner,dark dinner
benutzen,to use
blind,blind
die Dunkelheit,darkness
das Dunkle,dark (What is hard about eating in the dark?)
der Eindruck,impression
erkennen,to recognize
das Erlebnis,experience
führen,to guide (I’ll guide you by the hand.)
gar,here: at all
der Gastraum,dining room (in a restaurant)
der Gedanke,thought
genau,exactly (I don’t know exactly.)
der Geruch,smell
gewöhnen,to accustom, get used to
das Licht,light
das Menü,three-course meal (in a restaurant)
nur noch,only
rauchen,to smoke
schwierig,difficult, hard
sehbehindert,vision-impaired
die Sorge,worry
verboten,forbidden
völlig,completely, totally
der Vorraum,lobby, anteroom
zählen,to count
abwechselnd,alternating(ly)
das Dunkelrestaurant,restaurant without lights, blind restaurant
das Ergebnis,outcome, result
gemeinsam,together
der Sinn,sense (Learn with all your senses.)
die Station,station
vorbereiten,to prepare (Tobi prepares a salad.)
aufmachen,to open
das Auge,eye
der Beutel,bag
die Blume,flower
das Bonbon,piece of candy
der Gegenstand,item, article, subject
herausnehmen,to take out
das Parfüm,perfume
der Stoffbeutel,cloth bag
weitermachen,to continue
der Zitronensaft,lemon juice
zu (Augen zu!),closed (Eyes closed!)
zumachen,to close
zuhaben,to be closed
erinnern,to remember
die Ausbildung,training, education
je,each, apiece
der Onkel,uncle
interviewen,to interview
das Fernsehen,television
die Verabredung,appointment, date
kommen,to come, to be on, to be shown (What’s on TV today?)
nix,nothing (slang)
sehen,to see (Let’s see what’s on TV today.)
stören,to disturb, to bother
ausruhen,to rest
das Geschirr,dishes
spülen,to rinse
aber,but (Someone’s angry!)
ärgern,sich ärgern, to be angry (Da ärgert sich aber jemand!)
aufregen,sich aufregen, to be upset, angry
beeilen,sich beeilen, to hurry
langweilen,sich langweilen, to be bored
anmachen,to turn on
die Bohne,bean
extra,specially
das Gute,good (Is something good on TV today?)
das Rindfleisch,beef
formulieren,to formulate
sich freuen,to be happy
traurig,sad
folgen,to follow
begründen,to justify
vermuten,to suspect, surmise
weil,because
wirklich,really (How was it really?)
weitergehen,to continue
vorspielen,to act out
das Dunkelrestaurant,dining in the dark restaurant
das Dunkeldinner,dark dinner
benutzen,to use
blind,blind
die Dunkelheit,darkness
die Schulzeit,school time, time at school
worüber?,about what?
abschließen,to finish, to complete
der Altenpfleger,elderly care nurse
die Berufsschule,trade school
die Elektrotechnik,electrical engineering
der Hotelkaufmann,hotel manager
das Klassentreffen,class reunion
die Lehre,apprenticeship
das Lieblingsfach,favorite subject
die Note,grade
das Praktikum,practicum, internship
die Vorlesung,lecture
das Zeugnis,report card
das Au-pair,au pair
die Informatik,computer science
das Sportgeschäft,sports goods store
der Steckbrief,personal description
die Zukunft,future
das Abitur,high school graduation
alle,every
der/die Arme,unfortunate person
ausschlafen,to sleep in
einreiben,to rub in
der Eintrag,entry
die Englischlehrerin,English teacher (female)
die Erinnerung,memory
erwachsen,mature, grown-up
der Fehler,mistake
die Ferien,vacation
die Hauptsache,main thing
die Kunst,art
die Kunststunde,art class
das Land,countryside
die Lieblingsstunde,favorite class
Mathe,math
der Mathelehrer,math teacher (male)
paar,few, pair
der Riesenspaß,lots of fun
schrecklich,terrible
der Schulfreund,friend from school
sehen,to see (I see this completely differently than you.)
die Sommerferien,summer vacation
die Tür,door
der Unterricht,lessons, instruction
der Vokabeltest,vocabulary test
zukleben,to seal
die Hausaufgabe,homework
die Schuluniform,school uniform
überrascht,surprised
der Beitrag,contribution
die Theatergruppe,theater troupe
der Kommentar,commentary
mischen,to mix
wie,how (Wie komisch! = How odd!)
wundern,sich wundern,to be surprised about
zu,(Not to be believed!)
sortieren,to sort
das Trainingsprogramm,training program
der Transport,transport
Wo sind meine Sachen?,Where are my things?
korrigieren,to correct
schon lange,for a long time
die WG,shared apartment
zurückkommen,to return, come back
zusammenwohnen,to live together
hängen,to hang (The clock hangs on the wall.)
hängen,to hang up (Tom hangs the clock up on the wall.)
legen,to lay
das Mehl,flour
sich umdrehen,to turn around
die Veränderung,change, alteration
neu,new
außen,outside
enttäuscht,disappointed
der Ball,ball (Are you coming with to the ball tonight?)
irgendwas,something
die Oper,opera
Servus!,Greetings!
traditionell,traditional
unbedingt,absolutely, necessarily
das Univiertel,university district
zu Besuch,on a visit
das Blatt,sheet of paper
die Disco,discotheque
das Forum,forum
usw.,etc., and so on
weitergeben,to pass on
der Abschluss,degree, graduation
das Bundesland,state, province
die Hauptschule,school up to 9th grade
die Realschule,school up to 10th grade
das Schulsystem,school system
der Schultyp,school type
der Abendkurs,night class
die Anglistik,English language and literature
die Arbeitsstelle,job, position
der Bankkaufmann,banker, bank clerk
das Berufsleben,professional life
Chemie,chemistry
die Dauer,duration
sich entscheiden,to decide
das Fach,subject (in school)
der Ferienclub,vacation resort
die Grundschule,elementary school
der Hauptschulabschluss,graduation after 9th grade
das Internat,boarding school
die Karriere,career
nämlich,indeed, you see
perfekt,perfect
die Physik,physics
der Realschulabschluss,graduation after 10th grade
der Schulabschluss,secondary school graduation
die Sportstunde,gym class
der Stundenplan,schedule
die Vorbereitung,preparation
das Klassenzimmer,classroom
die Unterrichtszeit,class time
kommentieren,to comment
die Vorliebe,preference
anklicken,to click
bloggen,to blog
checken,(Ich checke täglich meine E-Mails.) to check (I check my email daily.)
die Datei,file
downloaden,to download
herunterladen,(lädt herunter, hat heruntergeladen) to download
das Online-Netzwerk,online network
posten,to post
das/der Radio,radio
simsen,to text
skypen,to skype
das Video,video
die Medien,media (Plural)
der Bildschirm,screen, monitor
das CD-Laufwerk,CD drive
die CD-ROM,CD-ROM
der Drucker,printer
das DVD-Laufwerk,DVD drive
der Lautsprecher,speaker
die Maus,mouse
das Papier,paper
der/das Tablet,tablet
die Tastatur,keyboard
die Web-Cam,webcam
beide,both
das E-Book,e-book
das Fernsehgerät,television set
der I-Pod,iPod
das Smartphone,smartphone
die Spielekonsole,video game console
häufig,often
selten,rarely
Was ist besser?,What is better?
der Laptop,laptop
Das ist wichtig für mich,That is important for me
genauso,just as
die Umfrage,survey, poll
zurzeit,currently
die Web-Adresse,web address, URL
wünschen (sich),to wish
flüstern,to whisper
der/die Letzte,last, final
das Ohr,ear
die Runde,round
still,silent(ly)
weiterflüstern,to whisper on
Meine Meinung ist ...,My opinion is ...
an sein,to be on
aufpassen,dass,to pay attention that
die Gefahr,danger
der/die Kriminelle,criminal
manche,some
die Meinung,opinion
möglich,possible
das Netz,web (Singular)
nicht nur,not only
privat,private
stellen,to place, put
viele,Many
überall,everywhere
